2025-04-14 23:29:35 | DEBUG | bot | Logger 'bot' инициализирован с уровнем DEBUG.
2025-04-14 23:29:35 | INFO | bot | Конфигурация успешно загружена.
2025-04-14 23:29:36 | DEBUG | core.database.crud | Logger 'core.database.crud' инициализирован с уровнем DEBUG.
2025-04-14 23:29:36 | DEBUG | central_core.task_manager | Logger 'central_core.task_manager' инициализирован с уровнем DEBUG.
2025-04-14 23:29:36 | DEBUG | modules.monitoring.cleanup_service | Logger 'modules.monitoring.cleanup_service' инициализирован с уровнем DEBUG.
2025-04-14 23:29:36 | INFO | bot | Функция perform_cleanup успешно импортирована.
2025-04-14 23:29:36 | INFO | bot | Инициализация центрального ядра началась.
2025-04-14 23:29:36 | INFO | bot | Центральное ядро успешно инициализировано.
2025-04-14 23:29:36 | INFO | bot | Центральное ядро успешно инициализировано.
2025-04-14 23:29:41 | DEBUG | modules.bot.activity_middleware | Logger 'modules.bot.activity_middleware' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot | Logger 'modules.bot' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | INFO | bot | Модуль bot успешно загружен.
2025-04-14 23:29:41 | INFO | modules.bot | Регистрация всех Telegram-обработчиков...
2025-04-14 23:29:41 | DEBUG | modules.bot.services.user_service | Logger 'modules.bot.services.user_service' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.services.user_service | Logger 'modules.bot.services.user_service' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.handlers.activity | Logger 'modules.bot.handlers.activity' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.handlers.activity | Logger 'modules.bot.handlers.activity' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.activity
2025-04-14 23:29:41 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.activity
2025-04-14 23:29:41 | INFO | modules.bot | Обработчик modules.bot.handlers.activity зарегистрирован.
2025-04-14 23:29:41 | DEBUG | modules.bot.handlers.channel_buttons | Logger 'modules.bot.handlers.channel_buttons' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.handlers.channel_buttons | Logger 'modules.bot.handlers.channel_buttons' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.channel_buttons
2025-04-14 23:29:41 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.channel_buttons
2025-04-14 23:29:41 | INFO | modules.bot | Обработчик modules.bot.handlers.channel_buttons зарегистрирован.
2025-04-14 23:29:41 | DEBUG | modules.bot.services.channel_service | Logger 'modules.bot.services.channel_service' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.services.channel_service | Logger 'modules.bot.services.channel_service' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.handlers.channel_monitoring | Logger 'modules.bot.handlers.channel_monitoring' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | DEBUG | modules.bot.handlers.channel_monitoring | Logger 'modules.bot.handlers.channel_monitoring' инициализирован с уровнем DEBUG.
2025-04-14 23:29:41 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.channel_monitoring
2025-04-14 23:29:41 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.channel_monitoring
2025-04-14 23:29:41 | INFO | modules.bot | Обработчик modules.bot.handlers.channel_monitoring зарегистрирован.
